Loop: 0
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.0016676845405317372
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0016672772418284691
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.001667149610799954
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.0016673680198813787
node-5,2048.0,12000,1,2047.0,11998.0,100.0,99.96725260416667,0.0014290394017609375
node-6,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,0.001429746128841349
node-7,1800.0,11000,1,1799.0,10998.0,100.0,99.96313131313131,0.0014290983183554687
node-8,980.0,1638,1,979.0,1636.0,100.0,99.88792953078666,0.0014301742315432873
node-9,800.0,1024,1,799.0,1022.0,100.0,99.83984375,0.0014308630451672043
node-10,1900.0,8500,1,1899.0,8498.0,100.0,99.96191950464396,0.0014291156428874506
node-11,3000.0,16000,1,2999.0,15998.0,100.0,99.97708333333333,0.0014288988845658082
node-12,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,0.001429746128841349
node-13,7168.0,16384,1,7167.0,16382.0,100.0,99.98692103794643,0.0014287582953267117
node-14,2000.0,3000,1,1999.0,2998.0,100.0,99.94166666666666,0.0014294052482996032
node-15,1100.0,10240,1,1099.0,10238.0,100.0,99.94477982954547,0.0014293607239996313
node-16,3120.0,12384,1,3119.0,12382.0,100.0,99.97589942357385,0.0014289158055172026

Loop: 1
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.0016676845405317372
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0016672772418284691
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.001667149610799954
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.0016673680198813787
node-5,2048.0,12000,1,2047.0,11998.0,100.0,99.96725260416667,0.0012504094765408203
node-6,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,0.0012510278627361803
node-7,1800.0,11000,1,1799.0,10998.0,100.0,99.96313131313131,0.0014290983183554687
node-8,980.0,1638,1,979.0,1636.0,100.0,99.88792953078666,0.0014301742315432873
node-9,800.0,1024,1,799.0,1022.0,100.0,99.83984375,0.0014308630451672043
node-10,1900.0,8500,1,1899.0,8498.0,100.0,99.96191950464396,0.0014291156428874506
node-11,3000.0,16000,1,2999.0,15998.0,100.0,99.97708333333333,0.0014288988845658082
node-12,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,0.0012510278627361803
node-13,7168.0,16384,2,7166.0,16380.0,100.0,99.97384207589286,0.002500654119206684
node-14,2000.0,3000,1,1999.0,2998.0,100.0,99.94166666666666,0.001250729592262153
node-15,1100.0,10240,1,1099.0,10238.0,100.0,99.94477982954547,0.0012506906334996775
node-16,3120.0,12384,1,3119.0,12382.0,100.0,99.97589942357385,0.0012503013298275523

Loop: 2
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.0016676845405317372
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0016672772418284691
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.001667149610799954
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.0016673680198813787
node-5,2048.0,12000,1,2047.0,11998.0,100.0,99.96725260416667,0.0011114750902585068
node-6,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,0.0011120247668766046
