Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights 
node-1,1024.0,8192,48,976.0,8096.0,100.0,97.0703125
node-2,2048.0,8192,48,2000.0,8096.0,100.0,98.2421875
node-3,2800.0,9000,49,2751.0,8902.0,100.0,98.58055555555556
node-4,1800.0,7000,48,1752.0,6904.0,100.0,97.98095238095239
node-5,2048.0,12000,71,1977.0,11858.0,100.0,97.67493489583333
node-6,1500.0,2048,69,1431.0,1910.0,100.0,94.330859375
node-7,1800.0,11000,68,1732.0,10864.0,100.0,97.4929292929293
node-8,980.0,1638,65,915.0,1508.0,100.0,92.71541950113378
node-9,800.0,1024,63,737.0,898.0,100.0,89.91015625
node-10,1900.0,8500,68,1832.0,8364.0,100.0,97.41052631578948
node-11,3000.0,16000,69,2931.0,15862.0,100.0,98.41875
node-12,1500.0,2048,68,1432.0,1912.0,100.0,94.41302083333333
node-13,7168.0,16384,72,7096.0,16240.0,100.0,99.05831473214286
node-14,2000.0,3000,70,1930.0,2860.0,100.0,95.91666666666667
node-15,1100.0,10240,70,1030.0,10100.0,100.0,96.13458806818183
node-16,3120.0,12384,71,3049.0,12242.0,100.0,98.2888590737428
